name,teudat_zehut,specialty,year,gender,clinic_address,phone,license_number,license_date,specialty_registration_date,clalit,maccabi,meuhedet,leumit,source_url,source_name,scrape_date
פרופ' גיא הידש,,אורולוגית ילדים,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/dr-hidas-guy,MedReviews,2026-03-29T18:53:42.310442
"ד""ר בוריס פרידמן",,אורולוגיה כירורגית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-friedman-boris,MedReviews,2026-03-29T18:53:42.310458
"ד""ר יוסף גפני",,רופא שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-gafni-yosef,MedReviews,2026-03-29T18:53:42.310464
"ד""ר לואי בסול",,שיקום הפה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-bsoul-loay,MedReviews,2026-03-29T18:53:42.310470
"ד""ר לובה בר סף",,טיפולי שורש,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-bar-sef-luba,MedReviews,2026-03-29T18:53:42.310476
פרופ' עדי לוריאן,,כירורגיית פה ולסת,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-lorean-adi,MedReviews,2026-03-29T18:53:42.310481
"ד""ר עדי נחום",,רפואת עיניים,,,,,,,,0,0,1,0,https://www.medreviews.co.il/provider/dr-nahum-adi,MedReviews,2026-03-29T18:53:42.310489
"ד""ר אסתר רובינראוט",,אורטופדיה,,,,,,,,0,1,0,1,https://www.medreviews.co.il/provider/dr-rubinraut-esther,MedReviews,2026-03-29T18:53:42.310508
"ד""ר ניזאר חוראני",,נוירולוגיה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-horrany-nizar,MedReviews,2026-03-29T18:53:42.310515
"ד""ר ולדימיר יוטקין",,כירורגיה אורולוגית,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/dr-yutkin-vladimir,MedReviews,2026-03-29T18:53:42.310530
"ד""ר אפרת חדי",,רפואת נשים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hadi-efrat,MedReviews,2026-03-29T18:53:42.310536
"ד""ר נעמה סאמט",,כירורגיית פה ולסתות,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-samet-naama,MedReviews,2026-03-29T18:53:42.310543
"ד""ר נחום סאמט",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-samet-nahum,MedReviews,2026-03-29T18:53:42.310548
"ד""ר בת שבע מרקוס",,עור ומין,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-marcus-batsheva,MedReviews,2026-03-29T18:53:42.310555
" ד""ר יפעת סנדלר",,שיכוך כאב,,,,,,,,1,0,0,1,https://www.medreviews.co.il/provider/dr-sandler-ifat,MedReviews,2026-03-29T18:53:42.310585
"ד""ר יולי גולדמן",,רפואת הפה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-goldman-yuli,MedReviews,2026-03-29T18:53:42.310590
פרופ' רונן דבי,,החלפות מפרקים - ברכיים וירכיים,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/dr-debi-ronen,MedReviews,2026-03-29T18:53:42.310621
" ד""ר מחמוד מסרי",,שיקום הפה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-masri-mahmoud,MedReviews,2026-03-29T18:53:42.310629
" ד""ר עדי סיון גילדור",,מומחה למחלות חניכיים ושתלים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-sivan-gildor-adi,MedReviews,2026-03-29T18:53:42.310635
"ד""ר עינב הירשהורן",,"שיקום הפה, רפואת שיניים",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hirschhorn-einav,MedReviews,2026-03-29T18:53:42.310642
"ד""ר רוני דקר",,אנדודנטיה (טיפולי שורש),,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-dakar-roni,MedReviews,2026-03-29T18:53:42.310652
"ד""ר מייק פרנקין",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-frenkin-mike,MedReviews,2026-03-29T18:53:42.310659
מרפאת שיניים מרום,,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hecht-gideon,MedReviews,2026-03-29T18:53:42.310665
"ד""ר ארנסטו שכנר",,מתמקצע ביישור שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-schechner-ernesto,MedReviews,2026-03-29T18:53:42.310672
"ד""ר ערן צנציפר",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-zenziper-eran,MedReviews,2026-03-29T18:53:42.310679
"ד""ר איתי שגיא",,אורולוגיה,,,,,,,,1,0,0,0,https://www.medreviews.co.il/provider/dr-sagy-itay,MedReviews,2026-03-29T18:53:42.310696
"ד""ר ערן חדד",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hadad-eran,MedReviews,2026-03-29T18:53:42.310701
